,Start seed number,MRPS 10,MRPS 20,MRPS 40,MRPS 80,Eva 10,Eva 20,Eva 40,Eva 80
0,19520197.0,52.0,120.0,416.0,1280.0,728.0,5280.0,59904.0,655360.0
1,19520207.0,4.0,136.0,544.0,2176.0,34.0,6528.0,95744.0,1009664.0
2,19520217.0,68.0,160.0,256.0,960.0,1224.0,9600.0,36874.0,445440.0
3,19520227.0,64.0,136.0,416.0,1088.0,982.8,6528.0,66560.0,557056.0
4,19520237.0,34.0,136.0,832.0,2816.0,408.0,6528.0,106496.0,1261568.0
5,19520247.0,136.0,144.0,576.0,1792.0,1904.0,6912.0,101376.0,831488.0
6,19520257.0,68.0,68.0,704.0,2176.0,816.0,2176.0,107008.0,1009664.0
7,19520267.0,28.0,176.0,544.0,1152.0,448.0,10560.0,65280.0,423936.0
8,19520277.0,68.0,160.0,544.0,2816.0,952.0,6400.0,91392.0,1216512.0
9,19520287.0,68.0,160.0,640.0,2304.0,952.0,7040.0,81920.0,1142784.0
10,Mean,59.0,139.6,547.2,1856.0,844.8799999999999,6755.2,81255.4,855347.2
11,Std,33.07264730861441,20.177214872226543,76.5495917689964,236.45380098446293,482.4767036863023,1518.2457245123398,11084.89271080239,106617.53680291062
