,Start seed number,MRPS 10,MRPS 20,MRPS 40,MRPS 80,MRPS 160,Eva 10,Eva 20,Eva 40,Eva 80,Eva 160
0,19520197.0,10.0,16.0,24.0,68.0,136.0,60.0,128.0,312.0,1292.0,3672.0
1,19520207.0,10.0,16.0,24.0,80.0,88.0,50.0,128.0,360.0,1600.0,2552.0
2,19520217.0,16.0,14.0,34.0,48.0,96.0,144.0,126.0,476.0,1008.0,3072.0
3,19520227.0,14.0,26.0,44.0,72.0,128.0,84.0,338.0,616.0,1440.0,3840.0
4,19520237.0,10.0,18.0,36.0,68.0,136.0,80.0,198.0,576.0,1360.0,3808.0
5,19520247.0,10.0,28.0,44.0,96.0,96.0,70.0,308.0,660.0,1824.0,2880.0
6,19520257.0,16.0,18.0,40.0,68.0,136.0,89.6,144.0,520.0,1360.0,3808.0
7,19520267.0,14.0,28.0,40.0,80.0,88.0,70.0,252.0,600.0,1520.0,2640.0
8,19520277.0,18.0,18.0,52.0,68.0,104.0,144.0,180.0,676.0,1360.0,3120.0
9,19520287.0,18.0,22.0,52.0,80.0,136.0,72.0,198.0,780.0,1600.0,3944.0
10,Mean,13.6,20.4,39.0,72.8,114.4,86.36,200.0,557.6,1436.4,3333.6
11,Std,3.2,3.5099857549568485,4.674398357008098,4.1856899072912706,5.141984052872977,30.756566778494637,51.38093031466052,68.36490327646196,73.54032907187728,127.60893385652902
